127736;GBPUSD;99;1.3920;0.01;0;0;21:02:18 15:04;2;praful_patat;0.0%
44016356;GBPJPY;99;149.63;0.01;0;0;21:02:18 15:04;5;ckart;0.4%
9761134;USDCHF;1;0.9381;0.01;0;0;21:02:18 15:04;-7;dinnebolt;0.0%
9760525;USDCHF;99;0.9378;0.01;0;0;21:02:18 15:04;-3;dinnebolt;0.0%
44016403;EURGBP;99;0.8848;0.01;0;0;21:02:18 15:04;3;ckart;0.3%
86625825;GBPUSD;0;1.3920;0.01;0;0;21:02:18 15:04;-7;sagion7;-0.6%
6464193;GBPJPY;99;149.64;0.01;0;0;21:02:18 15:04;5;1qaz2wsx33;0.0%
66073079;GBPJPY;0;149.62;0.01;0;0;21:02:18 15:04;-7;Syazwi;-2.1%
29846042;CHFJPY;99;114.65;0.01;0;0;21:02:18 15:04;-8;Dragongtr;0.0%
89397061;[dax30];99;12,412.64;0.01;0;0;21:02:18 15:04;na;rk00;26.6%
29215790;GBPJPY;0;149.65;0.01;0;0;21:02:18 15:04;2;Mr.Xau;0.0%
37848936;GBPJPY;0;149.65;0.01;0;0;21:02:18 15:03;-3;whyzzbee;-0.1%
23850467;GBPJPY;1;149.67;0.01;0;0;21:02:18 15:03;-4;Givemeluckdu;-0.3%
47347273;GBPCAD;99;1.7630;0.01;0;0;21:02:18 15:03;3;Allnighter;0.1%
7376023;GBPUSD;0;1.3926;0.01;0;0;21:02:18 15:03;4;fxbm;0.0%
7376022;GBPUSD;1;1.3929;0.01;0;0;21:02:18 15:03;-8;fxbm;-0.2%
46763409;GBPUSD;0;1.3925;0.01;0;0;21:02:18 15:02;-15;jenwitmeerat;-0.3%
18603959;USDJPY;0;107.48;0.01;0;0;21:02:18 15:02;0;lambro;-0.4%
